,time,temperature,pressure,humidity,light,co2,lfreqn,mfeqn,hfreqn,mfreqn
0,Fri Sep 30 15:28:40 2022,23.570246654842048,686.1215027306948,74.63525122216471,94.3133,771,0.0,0.0,0.0,
1,Fri Sep 30 15:28:45 2022,26.082258334960443,994.287453439001,36.65390896147516,92.78255,764,0.0,,0.0,0.0
2,Fri Sep 30 15:29:48 2022,24.941369512777804,994.3681848977034,37.95770729103981,197.0353,761,0.0,,0.0,0.0
3,Fri Sep 30 15:30:48 2022,24.603540953167634,994.3194863234127,38.78204941870076,186.5235,744,0.0,,0.0,0.0
4,Fri Sep 30 15:31:49 2022,24.60857377124887,994.2765675267896,38.804736552212226,195.87345,747,0.0,,0.0,0.0
5,Fri Sep 30 15:32:50 2022,24.192109059436394,994.2255840834877,39.65593711431445,195.87345,730,0.0,,0.0,0.0
6,Fri Sep 30 15:33:51 2022,23.97192459419823,994.2123439235589,40.080826551118946,191.59495,738,0.0,,0.0,0.0
7,Fri Sep 30 15:34:52 2022,23.92757321932004,994.2169651561929,40.17707257154243,195.87345,726,0.0,,0.0,0.0
8,Fri Sep 30 15:35:53 2022,24.155935859048714,994.1770792879454,39.7749585092777,192.57235,733,0.0,,0.0,0.0
9,Fri Sep 30 15:36:54 2022,24.778117000404745,994.1892119929436,40.495620842172855,211.14295,843,0.0,,0.0,0.0
10,Fri Sep 30 15:37:56 2022,25.008998292579143,994.1965184910198,38.548206141225656,109.54665,769,0.0,,0.0,0.0
11,Fri Sep 30 15:38:58 2022,25.157152686878202,994.1480954628711,39.18977227653894,129.5377,771,0.0,,0.0,0.0
12,Fri Sep 30 15:39:59 2022,24.707342884994272,994.120190884192,38.753428930314364,127.61905,760,0.0,,0.0,0.0
13,Fri Sep 30 15:41:02 2022,24.38492819865287,994.1413300579945,39.43474281430795,189.87975,759,0.0,,0.0,0.0
14,Fri Sep 30 15:42:04 2022,24.078556715656305,994.1652774264289,40.04692136565168,172.76575,756,0.0,,0.0,0.0
15,Fri Sep 30 15:43:06 2022,24.158137705599096,994.100950485285,40.126314655957444,194.1031,857,0.0,,0.0,0.0
16,Fri Sep 30 15:44:09 2022,23.954938958595655,994.1144799105535,40.45463077842314,190.4331,801,0.0,,0.0,0.0
17,Fri Sep 30 15:45:13 2022,23.95305166595556,994.0674892365715,40.44330035571248,192.3879,781,0.0,,0.0,0.0
18,Fri Sep 30 15:46:16 2022,23.80269748380308,994.0896371081013,40.58458224701867,204.9838,772,0.0,,0.0,0.0
19,Fri Sep 30 15:47:20 2022,23.67310371096703,994.0563973469339,40.67486772646174,208.46935,770,0.0,,0.0,0.0
20,Fri Sep 30 15:48:24 2022,23.68600017000572,994.0124103163514,40.74847457944328,208.46935,755,0.0,,0.0,0.0
21,Fri Sep 30 15:49:29 2022,23.869696281840152,994.0174492571614,40.21098619762778,206.3301,643,0.0,,0.0,0.0
22,Fri Sep 30 15:50:34 2022,24.210982039520264,993.9775445730666,39.491552201965106,206.3301,626,0.0,,0.0,0.0
23,Fri Sep 30 15:51:39 2022,24.043327209749258,994.0115806942404,39.72395109072314,204.19085,622,0.0,,0.0,0.0
24,Fri Sep 30 15:52:45 2022,23.918136759496065,994.0124941422955,40.024141407987436,206.3301,607,0.0,,0.0,0.0
25,Fri Sep 30 15:53:51 2022,24.024768815051015,994.0246828010863,39.71828466152485,206.3301,600,0.0,,0.0,0.0
26,Fri Sep 30 15:54:57 2022,24.12070632181867,994.0369216106816,39.49726780472447,206.3301,602,0.0,,0.0,0.0
27,Fri Sep 30 15:56:04 2022,24.562963868020233,993.945480192266,38.66298383800362,204.19085,598,0.0,,0.0,0.0
28,Fri Sep 30 15:57:11 2022,24.305032451287843,993.9579384170529,39.054906797477415,204.19085,598,0.0,,0.0,0.0
29,Fri Sep 30 15:58:18 2022,23.922540440619922,993.941556742669,39.91652864342883,204.19085,592,0.0,,0.0,0.0
30,Fri Sep 30 15:59:26 2022,23.80898844856076,993.9082841033284,40.11465471486941,204.19085,589,0.0,,0.0,0.0
31,Fri Sep 30 16:00:34 2022,23.696065700339386,993.9402689395848,40.42021309551018,202.0516,584,0.0,,0.0,0.0
32,Fri Sep 30 16:01:42 2022,23.57842488727192,993.8801575450303,40.5444995157639,202.0516,575,0.0,,0.0,0.0
33,Fri Sep 30 16:02:51 2022,23.542251941957716,993.8519322010636,40.578373867886796,202.0516,575,0.0,,0.0,0.0
34,Fri Sep 30 16:04:00 2022,23.597926829244535,993.8448925719142,40.510585889131505,202.0516,570,0.0,,0.0,0.0
35,Fri Sep 30 16:05:09 2022,23.535017354699086,993.8540694242048,40.56704212424754,202.0516,569,0.0,,0.0,0.0
36,Fri Sep 30 16:06:18 2022,23.485004354882243,993.8192621491324,40.60087972570232,204.19085,565,0.0,,0.0,0.0
37,Fri Sep 30 16:07:28 2022,23.50261899304844,993.8047195558131,40.606576479362744,202.0516,562,0.0,,0.0,0.0
38,Fri Sep 30 16:08:38 2022,23.447258713674294,993.8223852983864,40.75352894288709,202.0516,559,0.0,,0.0,0.0
39,Fri Sep 30 16:09:49 2022,23.645108964996417,993.848151038871,40.408804683556404,202.0516,556,0.0,,0.0,0.0
40,Fri Sep 30 16:10:59 2022,23.600128661677285,993.8399010487744,40.420044821929146,205.16825,554,0.0,,0.0,0.0
41,Fri Sep 30 16:12:10 2022,23.598870471708892,993.8616073882087,40.40872427647728,210.9775,550,0.0,,0.0,0.0
42,Fri Sep 30 16:13:22 2022,23.562382970538078,993.8345816256319,40.3577315187544,207.86085,546,0.0,,0.0,0.0
43,Fri Sep 30 16:14:33 2022,23.479342507657407,993.8357176367883,40.54429335424922,206.88345,548,0.0,,0.0,0.0
44,Fri Sep 30 16:15:45 2022,23.212292465300653,993.8377561800962,40.95643770886954,206.88345,540,0.0,,0.0,0.0
45,Fri Sep 30 16:16:57 2022,23.07861047861336,993.8468709418989,41.29509755745806,206.88345,528,0.0,,0.0,0.0
46,Fri Sep 30 16:18:10 2022,23.406367620839795,993.818854728012,40.640298115314444,204.7442,524,0.0,,0.0,0.0
47,Fri Sep 30 16:19:23 2022,23.477140678280556,993.788264447664,40.30101205121444,206.88345,522,0.0,,0.0,0.0
48,Fri Sep 30 16:20:36 2022,23.658319967590796,993.7891395268074,39.99562722644874,206.88345,516,0.0,,0.0,0.0
49,Fri Sep 30 16:21:49 2022,23.98545019528974,993.7900654839619,39.265035341149854,206.88345,517,0.0,,0.0,0.0
50,Fri Sep 30 16:23:03 2022,24.090195037705804,993.7805899753638,39.09490800421678,204.7442,516,0.0,,0.0,0.0
51,Fri Sep 30 16:24:17 2022,24.04175446428237,993.7517339926358,39.1233098282192,204.7442,514,0.0,,0.0,0.0
52,Fri Sep 30 16:25:31 2022,23.800181098027338,993.7573134984063,39.588019599418665,204.7442,510,0.0,,0.0,0.0
53,Fri Sep 30 16:26:45 2022,23.657690872183686,993.7495180428782,39.797501036154486,204.7442,507,0.0,,0.0,0.0
54,Fri Sep 30 16:28:00 2022,23.56112478111538,993.7293921314082,39.99554885761565,204.7442,502,0.0,,0.0,0.0
55,Fri Sep 30 16:29:15 2022,23.676563736375194,993.7166320081284,39.79184645540171,204.7442,500,0.0,,0.0,0.0
56,Fri Sep 30 16:30:31 2022,23.61208146728425,993.7182895916559,39.893709075165674,204.7442,499,0.0,,0.0,0.0
57,Fri Sep 30 16:31:46 2022,23.59981411418348,993.6752788892024,40.01256044925289,204.7442,493,0.0,,0.0,0.0
58,Fri Sep 30 16:33:02 2022,23.373025667056233,993.6293170611228,40.26125241993347,204.7442,483,0.0,,0.0,0.0
59,Fri Sep 30 16:34:18 2022,23.37428385375954,993.6025450990705,40.22731480007962,203.58235,483,0.0,,0.0,0.0
60,Fri Sep 30 16:35:35 2022,23.296905405346138,993.5956554903782,40.44211012188951,204.7442,485,0.0,,0.0,0.0
61,Fri Sep 30 16:36:52 2022,23.33433643480903,993.559912332604,40.436526862038136,204.7442,479,0.0,,0.0,0.0
62,Fri Sep 30 16:38:26 2022,23.344087377900564,993.5701989943046,40.436545532311804,200.4657,494,0.0,,0.0,0.0
63,Fri Sep 30 16:39:44 2022,23.2528689207071,993.5516470729099,40.628624656215315,201.4431,481,0.0,,0.0,0.0
64,Fri Sep 30 16:41:01 2022,23.362016534178203,993.5392446047834,40.42526752091853,201.4431,472,0.0,,0.0,0.0
65,Fri Sep 30 16:42:19 2022,23.395358483743983,993.5308730782558,40.25562915927261,201.4431,476,0.0,,0.0,0.0
66,Fri Sep 30 16:43:38 2022,23.507022653147054,993.5308227438414,40.018137714460366,198.32645,472,0.0,,0.0,0.0
67,Fri Sep 30 16:44:57 2022,23.59761228175869,993.5195295614352,39.77483838544542,201.4431,465,0.0,,0.0,0.0
68,Fri Sep 30 16:46:16 2022,23.445371432043636,993.5402964449137,40.119920998779314,198.32645,471,0.0,,0.0,0.0
69,Fri Sep 30 16:47:36 2022,23.415489478345627,993.5135284811232,40.19908761859299,198.32645,477,0.0,,0.0,0.0
70,Fri Sep 30 16:48:55 2022,23.38309116119201,993.5403046571704,40.34611656738985,196.1872,475,0.0,,0.0,0.0
71,Fri Sep 30 16:50:15 2022,23.322698213839637,993.4840755552912,40.44781573474427,189.9539,478,0.0,,0.0,0.0
72,Fri Sep 30 16:51:36 2022,23.43404774311914,993.4953955942252,40.15951045239671,196.1872,472,0.0,,0.0,0.0
73,Fri Sep 30 16:52:56 2022,23.495069861969228,993.4815462795809,40.01246833056124,196.1872,469,0.0,,0.0,0.0
74,Fri Sep 30 16:54:17 2022,23.72154407919936,993.5336246047032,39.6503144027708,194.04795,483,0.0,,0.0,0.0
75,Fri Sep 30 16:55:38 2022,23.65800541988667,993.4538824327469,39.70692505319667,194.04795,485,0.0,,0.0,0.0
76,Fri Sep 30 16:57:00 2022,23.72877868196374,993.501015005498,39.588030991180204,190.9313,479,0.0,,0.0,0.0
77,Fri Sep 30 16:58:22 2022,23.49695714467764,993.4625259829586,40.006811495677354,194.04795,468,0.0,,0.0,0.0
78,Fri Sep 30 16:59:45 2022,23.42020768087898,993.4600649109618,40.15383573410993,194.04795,483,0.0,,0.0,0.0
79,Fri Sep 30 17:01:08 2022,23.33653826057291,993.443297997091,40.37431684505109,194.04795,472,0.0,,0.0,0.0
80,Fri Sep 30 17:02:30 2022,23.33339279521299,993.4045176555284,40.42521353814317,194.04795,471,0.0,,0.0,0.0
81,Fri Sep 30 17:03:54 2022,23.382147521067328,993.4035039017655,40.31217569631851,191.9087,469,0.0,,0.0,0.0
82,Fri Sep 30 17:05:17 2022,23.32710186483421,993.3743138595498,40.44782430334564,191.9087,463,0.0,,0.0,0.0
83,Fri Sep 30 17:06:41 2022,23.337167353658536,993.4070801422852,40.43653228632819,189.76945,469,0.0,,0.0,0.0
84,Fri Sep 30 17:08:05 2022,23.272999882348653,993.3905722781991,40.481648104647185,190.74685,472,0.0,,0.0,0.0
85,Fri Sep 30 17:09:30 2022,23.31231818023407,993.3645595035053,40.436484564526054,190.74685,466,0.0,,0.0,0.0
86,Fri Sep 30 17:10:54 2022,23.30602725137869,993.3343566096332,40.50433657750962,188.6076,464,0.0,,0.0,0.0
87,Fri Sep 30 17:12:19 2022,23.37334021373035,993.3591875225757,40.30650496199629,180.23505,462,0.0,,0.0,0.0
88,Fri Sep 30 17:13:44 2022,23.29061447760489,993.3134643920783,40.413821788342794,186.46835,463,0.0,,0.0,0.0
89,Fri Sep 30 17:15:10 2022,23.227705225203522,993.32091994387,40.58333162151791,186.46835,466,0.0,,0.0,0.0
90,Fri Sep 30 17:16:36 2022,23.26765259520844,993.2857561147997,40.54383983224383,184.3291,464,0.0,,0.0,0.0
91,Fri Sep 30 17:18:02 2022,23.345031017612563,993.3162949327766,40.396955835730665,185.3065,466,0.0,,0.0,0.0
92,Fri Sep 30 17:19:29 2022,23.3132618196016,993.3203823048477,40.481730021649135,183.16725,464,0.0,,0.0,0.0
93,Fri Sep 30 17:20:55 2022,23.28935629211121,993.2861152123576,40.560852139140025,186.2839,467,0.0,,0.0,0.0
94,Fri Sep 30 17:22:23 2022,23.334650981343316,993.2339872432958,40.47046188119437,183.16725,464,0.0,,0.0,0.0
95,Fri Sep 30 17:23:50 2022,23.416433118831833,993.2409889239764,40.34051587389628,186.2839,464,0.0,,0.0,0.0
96,Fri Sep 30 17:25:18 2022,23.381203880952874,993.2548640893017,40.41964714632272,179.86615,468,0.0,,0.0,0.0
97,Fri Sep 30 17:26:46 2022,23.278347169817426,993.2332628311996,40.61737570455937,180.84355,465,0.0,,0.0,0.0
98,Fri Sep 30 17:28:14 2022,23.381832974361373,993.2795346173182,40.430961080496225,176.56505,471,0.0,,0.0,0.0
99,Fri Sep 30 17:29:43 2022,23.291558116737086,993.277744668219,40.59478690914209,177.54245,471,0.0,,0.0,0.0
100,Fri Sep 30 17:31:12 2022,23.619630608513422,993.3376198133512,39.95031586455871,175.4032,466,0.0,,0.0,0.0
101,Fri Sep 30 17:32:41 2022,23.454493293637643,993.2806214591961,40.193482326942224,174.24135,476,0.0,,0.0,0.0
102,Fri Sep 30 17:34:11 2022,23.266394410046722,993.2617901088768,40.60603843015129,173.0795,468,0.0,,0.0,0.0
103,Fri Sep 30 17:35:41 2022,23.28683992117842,993.2534023397945,40.67394371194569,170.94025,464,0.0,,0.0,0.0
104,Fri Sep 30 17:37:11 2022,23.19971062250561,993.2751358104556,40.815065601722196,167.63915,465,0.0,,0.0,0.0
105,Fri Sep 30 17:38:41 2022,23.268910780388342,993.2758998825708,40.770025141268746,169.59395,465,0.0,,0.0,0.0
106,Fri Sep 30 17:40:12 2022,23.265765317472688,993.2844748496829,40.77567100438185,168.4321,468,0.0,,0.0,0.0
107,Fri Sep 30 17:41:44 2022,23.31735092364579,993.296379928131,40.651398175177476,167.27025,466,0.0,,0.0,0.0
108,Fri Sep 30 17:43:16 2022,23.309172715749536,993.3173246822428,40.63441318954963,166.1084,464,0.0,,0.0,0.0
109,Fri Sep 30 17:44:48 2022,23.305083612089607,993.2550745371918,40.56654208641027,161.8299,463,0.0,,0.0,0.0
110,Fri Sep 30 17:46:20 2022,23.107863225208074,993.2674212685696,40.99567227202981,164.94655,465,0.0,,0.0,0.0
111,Fri Sep 30 17:47:52 2022,23.278032623486638,993.2429143037189,40.72481343914261,159.5062,463,0.0,,0.0,0.0
112,Fri Sep 30 17:49:25 2022,23.253498013187915,993.2178044185266,40.696478461247594,158.34435,465,0.0,,0.0,0.0
113,Fri Sep 30 17:50:58 2022,23.28558173573931,993.2125241946442,40.6909048060459,157.1825,461,0.0,,0.0,0.0
114,Fri Sep 30 17:52:32 2022,23.285267189382374,993.2035730574011,40.69090401732075,156.02065,472,0.0,,0.0,0.0
115,Fri Sep 30 17:54:06 2022,23.24217434922905,993.2033533169921,40.76429898789376,152.71955,462,0.0,,0.0,0.0
116,Fri Sep 30 17:55:40 2022,23.25758711442404,993.2022601280786,40.798265682177195,149.41845,462,0.0,,0.0,0.0
117,Fri Sep 30 17:57:15 2022,23.282436272221116,993.2075707052588,40.79833413824709,149.234,469,0.0,,0.0,0.0
118,Fri Sep 30 17:58:49 2022,23.159763283687266,993.1682564647358,41.01845150841758,149.04955,466,0.0,,0.0,0.0
119,Fri Sep 30 18:00:25 2022,23.485633449041075,993.1790955172495,40.34628819703268,146.72585,472,0.0,,0.0,0.0
120,Fri Sep 30 18:02:00 2022,23.350378309507164,993.1420522303756,40.63451055498137,135.0522,470,0.0,,0.0,0.0
121,Fri Sep 30 18:03:36 2022,23.88227822149638,993.1824135384549,39.46905524930486,141.10105,481,0.0,,0.0,0.0
122,Fri Sep 30 18:05:12 2022,23.827546797245397,993.1961426299188,39.64464854899014,138.77735,490,0.0,,0.0,0.0
123,Fri Sep 30 18:07:25 2022,23.51866089876603,993.1448145187533,40.2727845322325,135.2918,486,0.0,,0.0,0.0
124,Fri Sep 30 18:09:02 2022,23.35666924156851,993.1891675356994,40.52706506836455,132.9681,468,0.0,,0.0,0.0
125,Fri Sep 30 18:10:39 2022,23.474624301918084,993.212512405,40.33495456830024,130.6444,488,0.0,,0.0,0.0
